,owner,company,address,type,capacity_MW,approval_date,prep_time,note
49,윤규한,현대그림파워(주),충남 당진군 송산면동곡리 310.311,증기터빈,400MW,07.12.24,2010.10.31,개별법 인허가
50,김상갑,한국남부발전(주),강원도 영월군 영월읍정양리 702,LNG,853MW,07.12.24,2010.11.30,개별법 인허가
51,안성덕,(주)일지솔라에너지,충남 태안군 원북면방갈리,태양광,15MW,07.12.24,2008.11.30,개별법 인허가
52,안효신,(주)동양에너지,전남 신안군 지도읍태천리 1525,태양광,7.5MW,07.12.24,2008.10.31,개별법 인허가
53,박종철,강릉윈드파워(주),강원도 강릉시 왕산면대기4리 2214-120,풍력,24MW,07.12.24,2009.9.30,개별법 인허가
54,안성덕,엘지솔라에너지,충남 보령 청소면,태양광,7,‘08.1.28,‘08.12월,신규
55,허경춘 정태호 엘렁윙신첸 고양시장,강원솔라파크 한국동서발전 메이야율촌전력 고양시(경기),강원도 춘천 송암동 경기 고양 백석동 전남 순천 해룡면 경기 고양 백석동,태양광 연료전지 연료전지 증기터빈(생활쓰레기),9.99 4.8(2.4×2기) 4.8(2.4×2기) 5.3,‘08.1.28 ,‘08.9월 ‘10.10월 ‘09.7월 ‘09.8월,신규 변경(용량증설) 변경(용량증설) 신규
56,사장,한국남부발전,강원 삼척 하장면,풍력,20,‘08.3.31,‘09.9월,신규
57,대표,삼성에버랜드,경북 김천 어모면,태양광,9.9,‘08.3.31,‘08.9월,신규
58,김기태,김천 에너빅스,경북 김천 어모면,태양광,9.4,‘08.3.31,‘08.9월,신규
59,채준석,디쏠라에너지,전남 영광 백수읍,태양광,13,‘08.3.31,‘08.12월,신규
60,대표,대림산업(주),인천 연수 동천동,복합화력,"1,000(500×2기)",‘08.4.21,‘12.2월,신규
61,대표,오송복합(디피오서비스),경기 평택 오성면,복합화력,800,‘08.6.20,‘11.6월,신규
62,대표,한국남동발전,경기 고성 하이면,수력,2.96→4.74,‘08.6.20,‘08.11월,변경(용량증가)
63,이승우,"포스코파워(#1,2)",전남 광양 금호동 640,복합화력(부생가스),262(131×2기),‘08.7.20,‘11. 6월,"신규(#1,2)"
64,이영호,김천 풍력발전,경북 김천 봉산면,풍력,85,‘08.7.18,‘11. 1월,신규
65,익산시장,익산시(전북),전북 익산시 부송동,증기터빈(생활쓰레기),5,‘08.7.18,‘09. 9월,신규
66,정종수,GS-EPS,충남 당진 송악면,복합화력(부곡),501,‘08.8.19,‘12. 1월,신규
67,에두아르도메디나산체스,영양풍력발전,경북 영양 석보면,풍력,64.5→76.5,‘08.8.19,‘14.12월,변경(용량증설)
68,김정기,송도파워,인천 연수 동춘동,복합화력,"1,032(516×2기)",‘08.8.19,‘12.2월,양수
69,안효신,동양에너지1),전남 신안 지도읍,태양광,22.5,‘08.8.19,,합병(용량증설)
70,,한국수력원자력김종신,경기 가평 설악면,수력,60,‘08.11.27,‘11.6월,신규
71,화성시장,화성시(경기),경기 화성 봉담읍,증기터빈(생활쓰레기),4.4,‘08.11.27,‘10.3월,신규
72,김종신,한국수력원자력,경북 울진 북면,원자력,"2,800",‘09.1.23,‘16.12월,"신규(신울진#1,2)"
73,손영기,GS파워,경기 부천 삼정동,복합화력,525,‘09.4.30,‘12.9월,신규(부천#2)
74,앨런윙신첸,MPC율촌전력2),전남 순천 해룡면,복합화력,525.5,‘09.7.28,-,법인분할
75,명진성,MPC대산전력,충남 서산 대산읍,복합화력,465.8,‘09.7.28,-,양수
76,이길구,한국동서발전,충남 당진 석문면,유연탄,"2,050",‘09.8.25,‘16.6월,"신규(당진#9,10)"
77,김권태,태백풍력발전,강원 삼척 하장면태백시 하사미동,풍력,20,‘09.12.24최초허가(‘08.3.31),‘10.12월(‘09.8.26기간연장),양수(남부발전)
78,조성식,포스코파워,인천 서구 원창동,복합화력,"1,000 →1,149",‘10.1.25,‘11.7월,변경(용량증설)
79,남인석,한국중부발전(인천복합),인천 서구 원창동,기력 &복합화력,"1,963",‘10.3.26,‘12.12월,변경(용량증설)
80,서현교,가로림 조력,충남 서산 대산읍,조력,520,‘10.3.26,‘15.1월,신규
81,장도수,한국남동발전,인천 옹진 영흥,유연탄,"1,740(870×2기)",‘10.4.29,‘14.12월,"신규(영흥#5,6)"
82,김건호,한국수자원공사3),경기 여주 능서면,수력,4.95,‘10.4.29,‘11.12월,신규
83,정형지,티에스원,대구 달서 대천동,연료전지,11.2,‘10.4.29,‘11.10월,신규
84,남인석,한국중부발전,강원 원주 지정면,폐기물에너지,10,‘10.5.25,‘12.6월,신규
85,김진서,그린택개발(포천LNG복합),경기 포천 창수면,복합화력,820,‘10.5.25,‘14.3월,신규
86,조상순,부산이앤이,부산 강서 생곡동,페기물에너지,25.15,‘10.5.25,‘13.2월,신규
87,박동근,신안풍력발전,전남 신안 지도읍,풍력,6,‘10.8.19,‘12.12월,준비기간 연장
88,에두아르도메디나산체스,영양제2풍력,경북 영양 석보면,풍력,38,‘10.11.26,‘12.12월,준비기간 연장
89,김종신,한국수력원자력4),전북 무주군 일원,양수,470,‘10.12.24,-,양수(분할합병)
90,예병국,태백풍력발전,강원 삼척 하장면태백시 하사미동,풍력,20,‘10.12.15,-,준비기간연장
91,예병국,창죽풍력,강원 태백 창죽동,풍력,10(2×10기),‘11.1.25,‘12.12월,신규
92,이완경,GS-EPS,충남 당진 송악읍,복합화력,501→373,‘11.1.30,‘13.9월,변경(용량축소)
93,김영길,포천파워,경기 포천 창수면,복합화력(#1),820→725,‘11.3.17,‘14.5월,변경(용량축소)
94,김영길,포천파워,경기 포천 창수면,복합화력(#2),725,‘11.3.17,‘14.11월,신규
95,남호기,한국남부발전,강원 삼척 윈덕읍,유연탄,"2,000(1,000×2기)",‘11.4.28,‘15.12월,신규
96,김문덕,한국서부발전,충남 태안 원북면,IGCC,380(GT 232×1기)(ST 148×1기),‘11.4.28,‘15.11월,신규
97,김도윤,부산연료전지발전,부산 강서구,연료전지,5.6(2.8×2기),‘11.4.28,‘11.10월,신규
98,이길구,동서발전,강원 동해시 구호동,바이오에너지,30,‘11.7.7,‘13.3월,신규
99,김홍주,동두천드림파워,경기 동두천시 광암동,LNG복합,"1,500(750×2기)",‘11.7.7,‘14.12월,신규
100,강창석,원드밀파워,경남 어곡동,풍력,6(2×3기),‘11.7.7,‘12.9월,신규
101,조서익,포스코파워,경북 포항시 남구,부생가스,263.2(131.6×2기),‘11.7.7,‘13.9월,신규
102,문덕규,SK E& S(前광양복합),전남 광양시 금호동 640,LNG복합,"1,080(G/T:170×4기,S/T: 200 × 4기)",‘11.7.7,합병일자‘(11.8.1),법인합병(케이파워)
103,정승일,한국지역난방공사,강원도 동해시 삼화동,폐열발전,39.6,‘11.7.29,‘13.12월,신규
104,김건호,수자원공사,경북 영주시 평은면,수력,"5 (3×1기,1.5×1기,0.5×1기)",‘11.7.29,‘14.2월,신규
105,최경식,경주풍력발전,경북 경주시 양북면,풍력,17.5(2.5×7기),‘11.7.29,‘12.12월,신규
106,남인석,한국중부발전,충남 보령시 주교면,유연탄,"2,000(1,000×2기)",‘11.9.5,‘17.6월,"신규(신보령#1,2)"
107,윤규한,현대그린파워,충남 당진군 송산면,부생가스,400(100×4기),‘11.9.5,‘14.5월,사업개시.13.5.1713.6.29
108,최규석,거금솔라파크,전남 고흥군 금산면,태양광,20,‘11.9.5,‘13.8월,준비기간 연장
109,벨기에인,영덕솔라랜드,경북 영덕군 영해면,태양광,10,‘11.9.5,‘12.12월,허가취소(13.8.8)
110,예병국,창죽풍력발전,강원도 태백시 창죽동,풍력,4,‘11.9.5,‘12.5월,반납(`13.8.8)
111,김재석,신안에너지주식회사,전남 신안군 팔금면 원산리,태양광,5,‘11.9.30,‘12.12월,신규
112,김재석,신안에너지주식회사,전남 신안군 팔금면 진고리,태양광,7.5,‘11.9.30,‘13.6월,신규
113,서기섭,대명지이씨(주),전남 영암군 금정면 연소리,풍력,40,‘11.10.26,‘12.12,신규
114,신창동,피앰피(장문LNG발전),경기 파주시 파주읍봉암리,LNG복합,"1,800(900×2기)",‘11.10.26,‘14.6월,
115,남인석,"한국중부발전(주)(서울복합 1,2호기)",서울 마포구 당인동,LNG복합,800(400×2기),‘11.10.26,‘14.12월,
116,이상호,한국남동발전(주)(안동복합화력),경북 안동시 풍산읍 괴정리,LNG복합,400(400×1기),‘11.10.26,‘13.12월,
117,김홍주,"동두천드림파워(주)동두천 복합 1,2호기",경기 동두천시 광암동,LNG복합,"1,716",‘11.10.26,‘14.12월,"용량변경 허가(1,500 →1,716)"
118,신승정,신월성풍력(주),경북 경주시 감포읍,풍력,12.5,12.5,‘13.12,
119,이길구,한국동서발전(주),경북 경주시 양남면,풍력,20,12.5,‘14.11,
120,김문덕,"한국서부발전(주)(태안 #9,10호기)",충남 태안군 원북면발전로 447-40,석탄화력,"2,100(1,050×2기)",‘11.12.5,‘16.12월,
121,이완경,당진바이오메스GS - EPS(주),충남 당진군 송악면부곡리 564,신재생(바이오),100(100×1기),‘11.12.5,‘14. 9월,
122,황보현,폐열발전(경주환경에너지),경북 경주시 천군동1516번지 일원,생활쓰레기소각열,4.7×1기,‘11.12.5,‘12. 9월,
123,이병호,STX에너지(주),경북 영양군 영양읍,풍력,42,‘11.12.26,‘13.12월,
124,엄익주,(주)금산태양광발전소,전남 신안군 안좌면,태양광,9,‘11.12.26,‘13.12월,준비기간 연장
125,강창석,윈드밀파워(주),경남 양산시 어곡동,풍력,12.5,‘11.12.26,‘14.12월,용량변경 허가(6→12.5)
126,양짜오 조성식,MPC율촌복합 포스코복합(7~9호기),전남 순천시 해룡면 인천 서구 원창동,LNG복합 LNG복합,"884.5 1,290",‘11.12.26 ,.13.6월(GT)‘14.6월(ST) ‘15.8월,사업개시(‘14.4.29) 사업개시(13.6.29)
127,임승숙,대척태양광발전(주),전남 신안군 안좌면,태양광,7.5,‘12.1.30,‘13.12월,준비기간 연장
128,강태일,부산신호태양광발전(주)1호기,부산 강서구 신호동,태양광,11,‘12.1.30,‘13.12월,
129,강태일,부산신호태양광발전(주)2호기,부산 강서구 신호동,태양광,9,‘12.1.30,‘13.12월,
130,문덕규,에스케이이엔에스(주),경남 양산시 원동면,풍력,20,‘12.1.30,‘13.12월,
131,김준수,경기연료전지발전(주),경기도 화성시 향남읍,연료전지,58.8,‘12.1.31,‘13.12월,
132,이길구,울산 4 복합화력발전(한국동서발전),울산 남구 남화동,LNG복합,"872(GT 2기,ST1기)",‘12.1.31,‘13.7월(GT)'14.7월(ST),
133,김문덕,평택복합 2단계 발전,경기도 평택시 포승면,LNG복합,"868.5(GT2기, ST1기)",‘12.1.31,‘13.7월(GT)'14.10월(ST),
134,송효순,대전 금고동 쓰레기매립가스발전(에코에너지홀딩스),대전 유성구 금고동,쓰레기매립가스(LFG),3.46,-,-,자진반납 허가폐지(2012.3.30)
135,이치훈,(주)금약코리아,전남 해남군 황산면원호리 435-1외 5필지,태양광,10,‘12.2.29,‘13.7월,
136,오경홍,영암에프원태양발전(주),전남 영암군 삼호읍삼포리 1895-8,태양광,13.295,‘12.2.29,‘12.12월,
137,정동화,(주)포스코건설,강원도 춘천시 석사동산73,집단에너지,463(GT1기ST1기),_,_,용량변경허가202→463
138,유재권김양수,S-POWER(주)(안산복합),경기도 안산시 초지동MTV5공구 BL 103-1,복합화력,"834.3(GT2기, ST1기",3.5,‘14.10월,
139,장도수,한국남동발전(주),전남 여수시 중흥동1300,화력,350,3.5,‘16.2월,기존200중유→350석탄
140,이길구,한국동서발전(주),인천시 서구 백석동 58수도권매립지 제3매립장내,신재생발전,5,3.30,‘13.8월,음식물쓰레기이용열병합발전
141,김동수,영광하사리풍력발전(주),전남 영광군 백수읍하사리 3186-12,풍력,20,3.30,‘13.12월,"변경허가안성권,호남풍력"
142,아키요시마사루,(주)경남신재생에너지,경남 밀양시 내이동1540-10 대아빌딩 2층,풍력,36,3.30,‘14.8월,기존 50.6→36
143,최경식,경주풍력발전(주),경북 경주시 양남면효동리 산 501-2,풍력,20,3.30,‘14년11월,동서발전에서양수 인가
144,나완배신완중,GS에너지(주)(주)삼천리 컨소시엄,서울시 강남구 논현로 508서울시 영등포구여의도동35-6,집단에너지,82219.2,3.30,‘16.10월,
145,김영대,대성산업(주)코젠사업부,경기도 오산시 누읍동332,집단에너지,432.4,3.30,‘15.8월,
146,손석원마크반더엘스터,삼성토탈(주),충남 서산시 대산읍독곶리 411-1,집단에너지,91.7,3.30,,
147,서기섭,대명지이씨(주),강원도 태백시 창죽동산63번지,풍력,20,4.26,‘13.8월,
148,이선규,(주)한주,울산시 남구 부곡동 625,구역전기,155,4.27,‘15.4월,울산석유화학-기존공급구역에추가
149,최홍건,동부발전당진(주),충남 당진시 석문면교로3리 1026외,석탄화력,"1,100",12.6.4,2015년12월,사업승인 신청전유치동의
150,김진식,STX전력(주),"강원도 동해시 구호동230, 245-1, 246",석탄화력,1190,12.6.4,2016년6월,‘12년말까지용도변경후 인가신청
151,김문덕,한국서부발전(주),전남 화순군 동면천궁리 산1 및 이서면안심리 산135-2,풍력,20,12.6.4,2013년6월,사업준비기간내발전사업개시신고
152,김두훈,유니슨(주),경남 의령군 궁류면벽계리 산 203,풍력,18.75,12.6.4,2013년7월,사업준비기간내발전사업개시신고
153,서기섭,영암풍력발전(주),전남 영암군 금정면연소리 산 340,풍력,40,12.6.4,2013년3월,대명지이씨(주)로부터 양수인가
154,고훈진,대전열병합발전(주),대전시 대덕구 신일서로68번길 71,집단에너지,113,‘12.6.5,2014년12월,
155,박영덕,평택에너지서비스(주),경기도 평택시 죽백동334-3,집단에너지,16,‘12.6.5,2012년12월,
156,이재문,(주)다남솔라,전남 해남군 황산면호동리 909-21,태양광,6.888,‘12.6.27,2013년5월,
157,이정원,(주)제이더블유에너지,"전남 해남군 황산면한자리726,752-1,747및호동리968-6",태양광,7.872,‘12.6.27,2013년5월,
158,조민래,코원에너지서비스(주),경기도 하남시 풍산동일원,열병합발전(LNG),398.9,‘12.6.27,2014년6월,
159,오창석,군장에너지(주),전북 군산시 소룡동53-8,"열병합발전(유연탄,석유코크스)",85.069,‘12.6.27,2014년6월,
160,이정섭,KG ETS(주),경기도 시흥시 정왕동시화공단 2바 101,"열병합(BC유,P-C)",20.8,'12.6.27,,
161,남인석,한국중부발전(주),강원도 원주시 지정면신평리 420-1,폐기물에너지(RDF),10,‘12.6.29,2014년5월,
162,손동식,충청에너지서비스,충북 청원군 옥산면국사리,"열병합(유연탄, 우드칩)",55,‘12.7.25,2015년10월,
163,정승일,한국지역난방공사,"경기도 화성시 석우동39,동탄면 방교리 634","열병합,연료전지,태양광","1,26313.6,7.3",‘12.7.25,2017년5월,
164,김대영,무림파워텍(주),경남 진주시 남강로1317길 24,"열병합(BC유,LNG)",42.6,‘12.7.25,,
165,정경수김진규,안산도시개발(주),경기도 안산시 초지동672,"열병합(BC유,LNG)",62.6,‘12.7.25,,
166,박영수,위례에너지서비스(주),경기도 하남시 학암동일원,열병합(LNG),228,‘12.7.25,2015년12월,
167,손영기,GS파워(주),경기도 부천시 오정구삼정동 363-3,LNG복합화력,525,‘12.8.23,2015년4월,
168,김준수,경기그린에너지(주),경기도 화성시 향남읍,연료전지,58.8,‘12.8.23,2013년12월,사업개시 13.7.10‘13.9.3 최종신고
169,백종호윤정택,네추럴오투피아(주),경기도 이천시 대월면초지리 57,태양광,9,‘12.9.20,2015년8월,
170,조현문,효성윈드파워홀딩스(주),강원도 강릉시 왕산면대기4리,풍력,24,‘12.9.19,2013년9월,사업준비기간연장 재교부
171,박찬구,금호석유화학(주),전남 여수시 월화동144-16 화치동 1293,"열병합(부생가스,석탄,TDF,바이오매스)",300,‘12.9.21,2015년6월,
172,권혁웅,여수열병합발전(주),전남 여수시 산단중앙로 145전북 군산시 비응도동 31,"열병합(부생가스,석탄,TDF,바이오매스)",여수250군장122.9,‘12.9.21,,
173,김재신,OCI SE (주),전북 군산시새만금산업단지내,"열병합(유연탄,LNG)",303,‘12.9.21,,
174,박찬구,금호석유화학(주),전남 여수시 월화동144-16,"열병합(부생가스,석탄)",31.5,‘12.9.21,,자체요청으로취소
175,조정호,청송 면봉산풍력발전,경북 청송군 현서면무계리 산 11,풍력,48,‘12.10.25,2015년1월,
176,백흥건,평창풍력발전(주),"강원도 평창군 미탄면회동리,평안리정선군 정선읍 회동리",풍력,30,‘12.10.26,2013년12월,
177,에두아르도산체스,(주)영양제2풍력발전,경북 영양군 석보면삼의리 산60,풍력,34,‘12.10.26,2014년12월,설비용량 38-34변경
178,전영찬,stx 영양풍력발전(주),경북 영양군 영양읍무창리 산62,풍력,46,‘12.10.26,2014년7월,발전사업양수인가
179,이병호,STX에너지(주),경기도 포천시 신북면신평리 220-1,"열병합(유연탄,우드칩,부생연료)",160,‘12.10.26,2015년12월,
180,이병호,STX에너지(주),경기도 안산시 단원구초지동 661,"열병합(유연탄,B-C유,도시가스)",76.955,‘12.10.26,2011년12월,
181,이병호,STX에너지(주),경북 구미시 공단2동291,"열병합(유연탄,B-C유,도시가스)",185.3,‘12.10.26,2012년6월,
182,박영덕,평택에너지서비스(주),경기도 평택시 오성면안화리 255-5,LNG복합화력,800.0,‘12.10.31,2013년1월,"사업준비기간연장,사업개시(13.3.22)"
183,김건호,한국수자원공사,경기도 여주군 능서면왕대리 1008,소수력,4.95,‘12.10.31,2012년10월,"사업준비기간연장,사업개시(13.3.22)"
184,김건호,한국수자원공사,경남 함양군 칠북면봉촌리 1352,수력,5.0,‘12.10.31,2012년10월,"사업준비기간연장,사업개시(13.3.22)"
185,김건호,한국수자원공사,경남 합천군 청덕면삼학리 222-3,수력,5.0,‘12.10.31,2012년10월,"사업준비기간연장,사업개시(13.3.22)"
186,박장수,현대에너지(주),전남 여수시 중흥동1300,열병합(유연탄),48.4,‘12.10.31,2012년10월,"사업준비기간연장,사업개시(13.3.22)"
187,정승일,한국지역난방공사,경기도 성남시 분당구분당동 186,소성로후단발생증기,39.6,‘12.11.14,2015년12월,폐열회수-소성로석탄 폐기물
188,"손달호,이길구,안병덕","(주)경동,한국동서발전(주),코오롱글로벌(주)","충남 당진군 석문면삼봉리,고대면 성산리",열병합(유연탄),38.9,‘12.11.29,2016년12월,양수인가(‘12.11..29)
189,강찬웅,하남에너지서비스(주),경기도 하남시 풍산동,열병합(LNG),398.9,‘12.11.29,2014년6월,양수인가(‘12.11..29)
190,김진식,STX전력(주),강원도 동해시 구호동241,석탄화력,1190.0,‘12.6.4,2016년6월,허가증재발급
191,장덕영,삼부건설(주),충청남도 부여군 장암면석동리 산42-1,태양광,3.984,‘12.12.3,2015년7월,
192,채준석,디쏠라에너지(주),전남 영광군 백수읍하사리 1881,태양광,11.5,‘12.12.3,2013년12월,08-9설비용량변경
193,오창관,포스코에너지(주),"전남 신안군 팔금면원산리 271,273 등",태양광,5,‘12.12.3,2013년12월,신안에너지(주)를흡수 합병인가
194,오창관,포스코에너지(주),전남 신안군 팔금면 진고리,태양광,7.5,‘12.12.3,2014년12월,신안에너지(주)를흡수 합병인가
195,김홍권,수완에너지(주),광주광역시 광산구수완로 130,열병합(LNG),109,‘12.12.5,2013.3.1발전사업전환,
196,심수섭,이에스파워 유한회사,충북 단양군 매포읍매포리 270,"S/T,유기링킨사이클",40,‘12.12.27,2017년12월,
197,이종근,동부발전당진(주),충남 당진시 석문면교로 3리 1026번지 외,석탄화력,"1,100",‘12.12.27,2016년12월,허가조건 이행에따른 허가증 재발급
198,서경석신준수,(주)GS&(주)소모석유컨소시엄,시흥 장현 목감지구내일원,LNG,38.1,'13.1.21,2018년7월,
199,장경규김진규,안산도시개발(주),경기도 시흥시 정왕동1771-1,LNG,6.0,'13.1.21,2015년5월,
200,이정훈,대구태양발전(주),대구시 달서구 대천동일원(5필지),태양광,6.0,‘13.1.29,2013년12월,대표자 변경(이명기)재발급
201,주우식,(주)전주페이퍼,전북 전주시 덕진구팔복동 2가 180,바이오메스,14.95,‘13.1.29,2014년12월,대표자변경
202,박기철김성훈,거제풍력(주),경남 거제시 일운면소동리 일원,풍력,40.0,‘13.1.28,2015년1월,
203,임춘호,자은주민바람발전소,전남 신안군 자은면백산리 일원,풍력,39.0,‘13.1.28,2015년1월,
204,오창석,군장에너지(주),충북 제천시 송학면입석리 289,폐열(시멘트소성로),18.0,‘13.2.22,2015년6월,
205,최규석,거금솔라파크,전남 고흥군 금산면어적리 264,태양광,25.0,‘13.2.22,2013년8월,
206,김명희,남정수상태양광,전남 고흥군 대서면남정리 2431-26,태양광,25.0,‘13.2.22,2016년2월,
207,박근식,경주산업단지풍력발전(주),경북 경주시 강동면왕신리 산46-1,풍력,12.0,‘13.2.22,2015년12월,
208,박근식,경주산업단지풍력발전(주),경북 경주시 천북면화산리 1180-21,풍력,6.0,‘13.2.22,2015년7월,
209,유대표,중부도시가스(주),충남 천안시 청당동청수8로 54,LNG(열병합),25.32,‘13.2.22,2015년10월,
210,정승일,한국지역난방공사,광주광역시광주전남혁신도시내,열병합(RDF등),20,‘13.3.25,2013년12월,
211,이완경,GSEPS(주),충남 당진군 송악면부곡공단로 241,GT/ST복합화력(LNG),950,'13.4.2,2015년12월,
212,정광성,SE그린 에너지(주),경기도 화성시 장안면노진리 16,"신재생(고형연료),ST",9.9,'13.4.2,2017년6월,
213,오창관,포스코에너지(주),인천시 서구 원창동437-1,GT/ST복합화력(LNG),"1,147",'13.4.2,7(2014.7)8(2014.12)9(2015.3),
